Date,Total Transit Ridership,Licensed Vehicles,Total Labour Force,Unemployment Rate,CPI,Retail Sales,Max Temperature,Precipitation Accumulation,Crime,Immigration Population,Exchange Rate Index (CERI),Mortgage Rate,AvgSoldPrice ($),#ofSales,NewListings,Season
09-Jan,14079042,1374241,1238700,5,112,1500,7.9,220.6,2739,799200,98.90148,6.27,783721,292,1419,Winter
09-Feb,15123107,1377128,1240400,5.9,112.5,1710.1,13.4,81.4,2694,794700,98.00843,5.79,789942,591,1622,Winter
09-Mar,15806555,1286643,1246000,6.6,112.6,1850.2,13,171,2547,789700,96.67644,5.73,766845,911,1869,Spring
09-Apr,15323873,1196957,1258800,7,112.6,1900,19.9,76,2532,783500,99.40733,5.425,813772,1188,1995,Spring
09-May,17004301,1312377,1271800,7.4,113.3,1910.5,26,68.2,2789,786000,104.9872,5.25,830504,1413,1968,Spring
09-Jun,16612124,1420966,1290000,7.5,113.3,2170.7,27.9,15.6,2640,793700,106.9973,5.65,820060,1663,2249,Summer
09-Jul,16983306,1433324,1299800,7.6,112.9,2200.8,34.9,19.2,2794,795600,107.107,5.85,823557,1631,2129,Winter
09-Aug,17174396,1473270,1304500,7.8,113.6,2328.7,27.7,41.4,2907,794100,110.3625,5.85,891036,1380,1784,Winter
09-Sep,17967722,1435827,1295100,7.4,113.5,2328.7,26.3,121,2813,792300,110.6504,5.58,869006,1432,2373,Spring
09-Oct,17684507,1427557,1286700,7.3,112.7,2030.4,18.9,206.2,2694,787600,113.3083,5.7525,915344,1494,1832,Spring
09-Nov,16486073,1503077,1282000,7.1,113.1,2132.4,14.2,212.6,2660,790500,112.5056,5.7775,898329,1170,1293,Spring
09-Dec,15145063,1476735,1282300,7.3,112.7,2710.1,10,115.8,2359,781700,113.3792,5.54,947852,905,798,Summer
10-Jan,15757232,1474541,1283000,7.6,113.1,2015.6,14.5,253.4,2456,781800,114.8516,5.49,959523,714,1951,Summer
10-Feb,16040465,1477188,1278300,7.6,113.9,1884.2,13,119,2249,790700,113.8848,5.39,966592,982,1915,Summer
10-Mar,17762872,1486743,1275900,7.9,113.6,2170.7,15.2,139.4,2426,801300,117.7707,5.435,1004061,1342,2773,Fall
10-Apr,16097260,1496157,1275700,7.7,114.2,2200.8,18.6,107.2,2338,801000,120.0091,6.0125,1002316,1368,3184,Fall
10-May,17045230,1512377,1281100,7.8,114.6,2328.7,21.5,58.4,2486,794600,116.8474,6.11,960867,1268,2940,Fall
10-Jun,17235165,1520966,1292900,7.8,114.5,2328.7,23.8,20,2444,794700,117.3307,5.965,965923,1141,2310,Winter
10-Jul,17031224,1533384,1306000,7.7,115.7,2320.1,29.6,26.2,2502,801000,115.8862,5.79,944122,915,1707,Winter
10-Aug,16480125,1537270,1321800,7.8,115.7,2199.9,31.2,69.8,2832,797100,115.8632,5.565,1001689,897,1423,Winter
10-Sep,17648213,1535827,1320200,7.6,115.6,2217.2,25.2,200.8,2615,789600,116.4396,5.39,1019461,871,1843,Spring
10-Oct,18714277,1527557,1315400,7.3,116.1,2190.8,23,156.8,2755,787000,117.1692,5.315,1052343,975,1421,Spring
10-Nov,18265770,1503077,1299900,7,116,2199,15.4,231,2293,792200,118.0137,5.2775,1039659,1055,1111,Spring
10-Dec,16187299,1485600,1297400,6.4,115.5,2639.9,11.2,231,2291,796700,119.039,5.19,1052999,774,660,Summer
11-Jan,17059082,1482031,1291900,6.7,115.8,1926.1,10.9,255.6,2361,792000,120.3625,5.19,1144439,797,1924,Winter
11-Feb,17111109,1481286,1296200,7.8,116,1878.1,11,156,2126,780600,120.7861,5.3775,1175057,1401,2458,Winter
11-Mar,18806155,1492905,1298200,8.3,117,2176.9,13.7,96.8,2321,784900,121.7384,5.39,1155592,1801,2980,Spring
11-Apr,18323873,1508193,1308000,8.5,117.2,2275.6,15.6,31.5,2149,796000,123.7059,5.69,1204457,1408,2559,Spring
11-May,19604331,1524679,1317900,8,118,2326.8,20.3,21.4,2297,810000,122.2985,5.665,1222416,1574,2573,Spring
11-Jun,20612124,1538110,1325400,7.4,117.5,2381.6,26.5,15.3,2904,815100,121.1857,5.415,1214127,1467,2504,Summer
11-Jul,18983306,1548994,1328600,7.3,117.5,2292.7,30.2,10.6,2698,831400,123.8124,5.465,1133833,1104,2175,Summer
11-Aug,19174396,1556816,1335100,7.7,117.7,2287,31.6,25.2,2490,843700,120.4354,5.39,1171686,1028,2029,Summer
11-Sep,19967722,1556651,1343400,7.5,118.3,2303.2,25.6,10.8,2441,852700,118.8351,5.29,1099481,968,2410,Fall
11-Oct,19684507,1546564,1345900,7.1,118.5,2270.4,16,58.6,2300,845700,116.7689,5.265,1159606,979,1799,Fall
11-Nov,19606444,1521938,1337700,6.5,118.7,2317.5,13.3,210.4,2246,852500,116.4429,5.29,1131881,920,1245,Fall
11-Dec,18592349,1506675,1325400,6.6,117.7,2795.3,11.2,112.6,2261,851300,117.0697,5.29,1066727,635,632,Winter
12-Jan,18265770,1499991,1315700,6.8,117.9,2067.6,11.3,211.4,2322,851300,118.2636,5.29,1149304,662,2488,Winter
12-Feb,10347933,1500102,1309700,6.7,118.4,2090.1,11.5,162.4,2188,846900,119.8421,5.19,1221179,1101,2226,Winter
12-Mar,20577186,1509750,1313500,6.7,119.1,2396.1,12.9,170.2,2407,847600,120.5033,5.24,1152051,1182,2418,Spring
12-Apr,20169062,1532498,1320900,6.4,119.4,2347.5,17.3,127.8,2370,852900,120.6513,5.44,1117142,1135,2559,Spring
12-May,20694934,1554018,1340200,6.6,119.8,2577.8,23.4,97.2,2353,852200,118.9421,5.415,1069629,1180,3061,Spring
12-Jun,19516344,1560037,1352000,6.6,119.5,2551,21.4,117,2484,853000,117.2335,5.24,1060053,923,2399,Summer
12-Jul,20065423,1574167,1363300,7,119.2,2382.3,26,41.4,2373,849500,118.8769,5.24,1044469,801,2090,Winter
12-Aug,20272245,1580119,1365200,7,119.4,2410.3,29.2,8.6,2782,847100,121.2666,5.24,1146335,626,1741,Winter
12-Sep,19750814,1578494,1360000,7.1,119.3,2317.9,24.6,9.8,2615,846000,122.3209,5.24,1124139,596,2273,Spring
12-Oct,21216402,1568102,1350700,7.1,119.3,2337.6,19,276,2449,849300,121.2587,5.24,1112763,801,1702,Spring
12-Nov,19376666,1542617,1336100,6.9,118.9,2362.1,13.7,243,2550,851800,120.3227,5.24,1053497,637,1043,Spring
12-Dec,17224374,1525744,1325600,6.6,118.3,2775.5,12.4,200.8,2342,853300,121.099,5.24,1067092,426,558,Summer
13-Jan,19067565,1520776,1315700,6.9,118.5,2138.4,8.9,139.4,2127,854200,121.0079,5.24,1148735,544,2164,Summer
13-Feb,18824104,1521687,1311200,6.7,119.8,1979.1,10.7,170.4,1928,855200,119.2737,5.24,1219995,708,2112,Summer
13-Mar,20164864,1538879,1319600,7.1,120,2323.6,17.2,186.6,2437,862100,118.0113,5.165,1184008,938,2085,Fall
13-Apr,19951062,1555011,1332000,6.8,118.5,2351,18.1,138.6,2428,868100,118.6354,5.14,1146891,1071,2599,Fall
13-May,20506180,1573150,1340100,6.7,119.3,2544,24.1,88.2,2529,883600,118.7226,5.14,1171151,1222,2460,Fall
13-Jun,18436961,1583525,1341700,6.4,119,2456,23.4,57.6,2464,898600,117.1622,5.14,1120063,1108,2109,Winter
13-Jul,21047700,1598568,1345900,6.5,119.3,2467.5,26.4,1.2,2611,914700,116.3641,5.14,1142402,1259,2095,Winter
13-Aug,19238611,1602224,1353800,7,119.5,2518.7,26.7,73.4,2590,913300,116.026,5.19,1206279,1062,1813,Winter
13-Sep,19227929,1600177,1352100,7,119.6,2395.7,27,173.6,2417,915700,116.6646,5.34,1208358,1025,2111,Spring
13-Oct,19706701,1590756,1341200,6.6,119.3,2448.3,21,56.2,2567,918500,116.1349,5.34,1223322,1070,1657,Spring
13-Nov,18230648,1565363,1327200,6.2,119,2478.1,12.9,173.4,2556,922200,114.9954,5.34,1257357,930,1228,Spring
13-Dec,17187023,1549177,1328800,5.9,118.5,2864.5,11.2,84.8,2408,909700,113.3706,5.34,1271235,772,743,Summer
14-Jan,18785415,1548171,1330600,5.9,118.7,2225.5,11.1,125.9,2458,885200,110.4871,5.29,1274794,727,2227,Winter
14-Feb,18283362,1548172,1331700,6,119.5,2078.2,11.9,74.6,2142,874100,109.1242,5.24,1367139,1032,1964,Winter
14-Mar,19108813,1560039,1330500,6,120.3,2416.1,14.6,181.2,2452,866900,108.4893,4.99,1214515,1116,2252,Spring
14-Apr,19734681,1581741,1336700,5.7,120.7,2508.5,23.8,123.6,2496,870200,109.619,4.84,1197240,1349,2589,Spring
14-May,20479575,1599449,1352300,5.6,121.2,2739.4,24.1,100.1,2804,872600,110.5838,4.79,1219533,1458,2589,Spring
14-Jun,19576015,1616291,1364500,5.6,121.4,2608.3,29.7,40.1,2765,875900,111.3486,4.79,1202160,1464,2239,Summer
14-Jul,20003686,1627759,1372900,5.8,121.2,2673.7,29.7,28.8,3172,883300,112.3037,4.79,1184899,1323,2137,Summer
14-Aug,20132263,1632818,1373600,5.9,121.2,2671.8,29.3,16.9,3190,880500,110.6602,4.79,1224870,1166,1598,Summer
14-Sep,20333422,1634419,1373800,6.2,121.2,2615,26.2,100.9,2982,889600,110.5319,4.79,1262460,1281,2043,Fall
14-Oct,19980561,1624700,1372000,6.3,120.6,2630.9,20.7,194.7,2996,894200,108.8123,4.79,1265756,1275,1691,Fall
14-Nov,18622272,1600447,1364500,6,120.5,2672.8,15.4,263.2,2634,903500,108.3705,4.79,1276540,1016,1065,Fall
14-Dec,17761048,1584099,1353600,5.6,119.6,3102.2,14.4,219.5,2559,912500,106.9379,4.79,1338643,846,689,Winter
15-Jan,18762627,1580370,1345300,5.6,119.7,2386.3,14.3,220.7,2683,911300,102.7431,4.79,1304112,787,1844,Winter
15-Feb,18738043,1584931,1343000,5.8,120.6,2371.8,13.1,130.8,2332,918900,99.63198,4.7775,1402941,1301,2246,Winter
15-Mar,19255689,1601586,1344600,6.1,121.5,2635,16.7,201.7,2442,911800,99.3216,4.74,1405951,1722,2484,Spring
15-Apr,19295680,1622654,1343800,6,121.3,2790,19.2,77.1,2515,921100,101.5022,4.665,1397118,1822,2477,Spring
15-May,19804288,1643993,1358000,6.2,122.4,3043.1,24.6,2.2,2834,923600,102.5572,4.64,1411845,1738,2405,Spring
15-Jun,19759529,1661713,1370100,6.1,122.4,3036.5,30.6,7.6,2857,933900,101.0715,4.64,1442701,1927,2452,Summer
15-Jul,20030972,1674667,1382100,6,122.5,2954.2,31.5,33.5,3226,945900,97.55032,4.64,1405329,1563,2076,Winter
15-Aug,19245214,1680300,1384700,5.8,122.7,2971.8,28.8,78.4,2935,953500,95.39872,4.64,1478772,1296,1759,Winter
15-Sep,19333422,1680510,1392200,6,122.7,2915,22.9,62.7,2876,961900,94.43587,4.64,1409498,1292,2066,Spring
15-Oct,19080521,1590956,1407200,6,122.4,2930.9,18.4,151.5,3218,960600,95.81498,4.64,1580596,1437,1556,Spring
15-Nov,18022272,1576536,1410900,5.7,122.7,2972.8,14.5,266.1,3272,962900,94.84872,4.64,1577204,1348,1293,Spring
15-Dec,17961048,1649177,1411300,5.4,122.4,3002.2,15.2,272.3,3147,960700,91.81302,4.64,1656553,1139,845,Summer
16-Jan,18462427,1648171,1405200,5.4,122.7,2186.3,12.8,215,3368,952600,88.85695,4.64,1817495,1049,1944,Summer
16-Feb,18768053,1648172,1411600,6,122.8,2311.8,15.2,190,2870,945600,91.20376,4.64,1813497,1772,2804,Summer
16-Mar,19055609,1660039,1418900,6.4,124,2635,18.8,198.3,3225,935500,94.883,4.64,1791347,2151,2990,Fall
16-Apr,19255640,1591741,1426200,6,124,2907.2,26.7,26.5,3092,927400,97.54165,4.64,1812911,1969,2925,Fall
16-May,19894298,1599449,1437100,5.7,124.9,3143.1,27.4,84.8,3495,921800,96.64539,4.64,1743445,1873,2946,Fall
16-Jun,20759529,1626291,1446600,5.3,125.3,3336.5,27.6,84.1,3379,924000,97.12203,4.64,1764192,1551,2650,Winter
16-Jul,20390972,1627779,1463000,5.5,125.7,3054.2,26.3,59.3,3482,939200,96.2988,4.74,1749341,1083,2426,Winter
16-Aug,19245214,1632898,1466000,5.4,125.6,3271.8,29.8,21.7,3338,952000,96.38705,4.74,1502454,733,1839,Winter
16-Sep,19278662,1630419,1459200,5.3,125.4,3315,21.7,82.3,3084,965400,95.75003,4.64,1543435,687,2180,Spring
16-Oct,20230442,1594700,1449600,5.2,125.4,3630.9,16.9,230.1,3096,981000,95.05617,4.64,1607274,664,1604,Spring
16-Nov,20158446,1600447,1432400,5.1,124.6,3672.8,18,251.5,2884,999800,94.35637,4.64,1615638,655,1208,Spring
16-Dec,19456789,1604099,1424800,4.8,124.7,3602.2,8.9,143.5,2505,1014000,95.64772,4.64,1676758,546,530,Summer
17-Jan,20243450,1608370,1411800,4.8,125.3,3386.3,10.8,129.4,2479,1011900,96.72373,4.64,1523626,450,1919,Winter
17-Feb,21442320,1684931,1414600,4.7,125.5,3371.8,12.9,139.5,2390,1000900,97.08478,4.64,1744988,747,1445,Winter
17-Mar,22005333,1641586,1420900,5,126.1,3635,13.9,285.8,3012,996700,94.9308,4.64,1718141,1157,1959,Spring
17-Apr,20759329,1692654,1437700,4.9,126.3,3790,15.8,148.3,2885,995300,94.32369,4.64,1767748,1215,2117,Spring
17-May,20290972,1643193,1465700,5.3,127.1,3243.1,27.1,115.8,3073,996700,92.88819,4.64,1829380,1549,2687,Spring
17-Jun,21759529,1691713,1490700,5.1,127.5,3236.5,28.2,47.8,3011,994300,94.71688,4.64,1718824,1329,2680,Summer
17-Jul,22090072,1704667,1508900,5.2,128.1,3954.2,27.8,2.7,3214,999000,98.88235,4.74,1710306,948,2229,Summer
17-Aug,21245214,1680300,1503600,4.8,128.6,3743.1,30.5,10.1,3379,1004900,99.23001,4.84,1613123,915,1771,Summer
17-Sep,20998942,1680510,1490300,4.7,128.3,3346.5,28.4,37.9,3219,1004700,101.6512,4.8525,1675811,868,2409,Fall
17-Oct,21002598,1708221,1475300,4.3,128.4,3454.2,19,184.3,3277,997500,99.5702,4.915,1802401,953,1842,Fall
