Date,num.trans,num.sold,detached,apart,tHouse,ave.pri,HPI,tot.perm,season,primeTime,monthNum,newHomes,5yr.mortg,1yr.mortg,int.rate,GIC,timeNumOrder
14-Apr,51935,2641,1116,1106,419,620100,162.3,691058,Spring,n,4,1747,4.79,3.14,1.45,1.3,1
14-May,59498,3050,1336,1172,542,625500,163.7,946315,Spring,y,5,617,4.79,3.14,1.45,0.78,2
14-Jun,71149,3286,1453,1286,547,629300,164.7,916494,Summer,y,6,1045,4.79,3.14,1.45,0.78,3
14-Jul,76631,3406,1462,1308,636,629700,164.8,1194455,Summer,y,7,1831,4.79,3.14,1.45,1.3,4
14-Aug,67108,3061,1322,1212,527,632800,165.6,857244,Summer,y,8,1185,4.79,3.14,1.45,1.3,5
14-Sep,67000,2771,1158,1126,487,634700,166.1,916907,Fall,y,9,2311,4.79,3.14,1.45,1.3,6
14-Oct,76206,2922,1270,1188,464,638100,167,1554411,Fall,y,10,1191,4.79,3.14,1.45,1.3,7
14-Nov,60973,3057,1271,1268,518,638500,167.1,774074,Fall,n,11,1079,4.79,3.14,1.45,1.3,8
14-Dec,66932,2516,1012,1052,452,639600,167.4,862226,Winter,n,12,1099,4.79,3.14,1.45,1.3,9
15-Jan,62805,2126,833,912,381,642700,168.2,630705,Winter,n,1,1239,4.79,3.14,1.28,1,10
15-Feb,55968,1913,781,809,323,650700,170.3,811099,Winter,n,2,1539,4.74,2.89,1.25,0.78,11
15-Mar,61884,3061,1296,1244,521,661800,173.2,1391551,Spring,n,3,2548,4.74,2.89,1.25,0.78,12
15-Apr,59554,4060,1711,1627,722,673600,176.3,1059773,Spring,n,4,981,4.64,2.89,1.25,0.78,13
15-May,72386,4179,1815,1579,785,685500,179.4,1000776,Spring,y,5,1576,4.64,2.89,1.25,0.88,14
15-Jun,82275,4056,1723,1600,733,695000,181.9,1225025,Summer,y,6,2100,4.64,2.89,1.25,0.88,15
15-Jul,92524,4375,1920,1774,681,701500,183.6,1453216,Summer,y,7,915,4.64,2.89,1.25,0.85,16
15-Aug,77211,3978,1559,1729,690,709600,185.7,1154581,Summer,y,8,2308,4.64,2.89,1.25,0.73,17
15-Sep,75291,3362,1290,1494,578,722900,189.2,1048907,Fall,y,9,2391,4.64,2.89,1.25,0.73,18
15-Oct,82758,3345,1272,1529,544,736300,192.7,1108001,Fall,y,10,1221,4.64,2.89,1.25,0.73,19
15-Nov,73202,3646,1437,1543,666,753100,197.1,1075050,Fall,n,11,714,4.64,3.14,1.25,0.85,20
15-Dec,69716,3524,1335,1553,636,761900,199.4,1166549,Winter,n,12,1048,4.64,3.14,1.25,0.85,21
16-Jan,65762,2827,1136,1225,466,775300,202.9,812907,Winter,n,1,1793,4.64,3.14,1.25,0.85,22
16-Feb,63743,2519,1047,1096,376,795200,208.1,959029,Winter,n,2,1233,4.64,3.14,1.25,0.85,23
16-Mar,72026,4172,1778,1790,604,815400,213.4,1130758,Spring,n,3,2271,4.64,3.14,1.15,0.85,24
16-Apr,77018,5173,2135,2252,786,844800,221.1,1191357,Spring,n,4,2515,4.64,3.14,1.15,0.85,25
16-May,89490,4782,1979,2107,696,889100,232.7,1244552,Spring,y,5,1683,4.64,3.14,1.15,0.85,26
16-Jun,96071,4769,1865,2150,754,917800,240.2,1191120,Summer,y,6,2763,4.64,3.14,1.15,0.85,27
16-Jul,86758,4400,1562,2108,730,930400,243.5,1158065,Summer,y,7,1555,4.74,3.14,1.15,0.85,28
16-Aug,105671,3226,1077,1602,547,933100,244.2,1345084,Summer,y,8,3247,4.74,3.14,1.15,0.85,29
16-Sep,94230,2489,715,1343,431,926600,242.5,965473,Fall,y,9,3811,4.64,3.14,1.15,0.85,30
16-Oct,80909,2253,666,1218,369,919300,240.6,1175569,Fall,y,10,3400,4.64,3.14,1.15,0.73,31
16-Nov,81413,2233,652,1178,403,908300,237.7,1275083,Fall,n,11,1503,4.64,3.14,1.15,0.73,32
16-Dec,74528,2214,638,1200,376,897600,234.9,755586,Winter,n,12,2663,4.64,3.14,1.15,0.73,33
17-Jan,69819,1714,541,915,258,896000,234.5,853829,Winter,n,1,3550,4.64,3.14,1.15,0.73,34
